date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:22:15	780/780	---M--	200	added ('OK')	text/plain	etag:%22e51e942a34b9d61:0%22	https://lactalis.com.br/robots.txt		(from )
02:22:15	64492/64492	---M--	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2005:22:13%20GMT	https://lactalis.com.br/pt/	C:/Meus%20Sites/fake%20lactalis/lactalis.com.br/pt/index.html	(from )
02:22:16	37790/37790	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Apr%202023%2005:22:14%20GMT	https://lactalis.com.br/wp-content/themes/astrusweb/ios_icon.png	C:/Meus%20Sites/fake%20lactalis/lactalis.com.br/wp-content/themes/astrusweb/ios_icon.0.delayed	(from https://lactalis.com.br/pt/)
02:22:16	2911/2911	---M--	200	added ('OK')	image/png	etag:%22014f4176eb9d41:0%22	https://lactalis.com.br/wp-content/themes/astrusweb/favicon.png	C:/Meus%20Sites/fake%20lactalis/lactalis.com.br/wp-content/themes/astrusweb/favicon.png	(from https://lactalis.com.br/pt/)
02:22:16	959/959	---M--	200	added ('OK')	application/javascript	etag:%22018bc2a71b9d41:0%22	https://lactalis.com.br/wp-content/themes/astrusweb/assets/js/textDimensions.js	C:/Meus%20Sites/fake%20lactalis/lactalis.com.br/wp-content/themes/astrusweb/assets/js/textDimensions.js	(from https://lactalis.com.br/pt/)
02:22:17	66394/66394	---M--	200	added ('OK')	text/css	etag:%2277fbb7b134b9d61:0%22	https://lactalis.com.br/wp-includes/css/dist/block-library/style.css?ver=5.4.1	C:/Meus%20Sites/fake%20lactalis/lactalis.com.br/wp-includes/css/dist/block-library/stylec225.css	(from https://lactalis.com.br/pt/)
02:22:17	34362/34362	---M--	200	added ('OK')	text/css	etag:%22018bc2a71b9d41:0%22	https://lactalis.com.br/wp-content/themes/astrusweb/assets/css/vendor.css?ver=5.4.1	C:/Meus%20Sites/fake%20lactalis/lactalis.com.br/wp-content/themes/astrusweb/assets/css/vendorc225.css	(from https://lactalis.com.br/pt/)
02:22:17	30/30	---M--	200	added ('OK')	text/css	etag:%22014f4176eb9d41:0%22	https://lactalis.com.br/wp-content/themes/astrusweb/style.css?ver=5.4.1	C:/Meus%20Sites/fake%20lactalis/lactalis.com.br/wp-content/themes/astrusweb/stylec225.css	(from https://lactalis.com.br/pt/)
02:22:18	10831/10831	---M--	200	added ('OK')	text/css	etag:%22018bc2a71b9d41:0%22	https://lactalis.com.br/wp-content/themes/astrusweb/assets/css/add-to-homescreen.css?ver=5.4.1	C:/Meus%20Sites/fake%20lactalis/lactalis.com.br/wp-content/themes/astrusweb/assets/css/add-to-homescreenc225.css	(from https://lactalis.com.br/pt/)
02:22:18	103652/103652	---M--	200	added ('OK')	text/css	etag:%220d4d3c25acdd41:0%22	https://lactalis.com.br/wp-content/themes/astrusweb/assets/css/main.css?ver=5.4.1	C:/Meus%20Sites/fake%20lactalis/lactalis.com.br/wp-content/themes/astrusweb/assets/css/mainc225.css	(from https://lactalis.com.br/pt/)
02:22:18	80159/80159	---M--	200	added ('OK')	text/css	etag:%22ee29e13f8eefd81:0%22	https://lactalis.com.br/wp-content/plugins/gdpr-cookie-compliance/dist/styles/gdpr-main.css?ver=4.9.1	C:/Meus%20Sites/fake%20lactalis/lactalis.com.br/wp-content/plugins/gdpr-cookie-compliance/dist/styles/gdpr-main5859.css	(from https://lactalis.com.br/pt/)
02:22:19	96878/96878	---M--	200	added ('OK')	application/javascript	etag:%228789c69e34b9d61:0%22	https://lactalis.com.br/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/Meus%20Sites/fake%20lactalis/lactalis.com.br/wp-includes/js/jquery/jquery4a5f.js	(from https://lactalis.com.br/pt/)
02:22:19	24249/24249	---M--	200	added ('OK')	application/javascript	etag:%2266a249e34b9d61:0%22	https://lactalis.com.br/wp-includes/js/jquery/jquery-migrate.js?ver=1.4.1	C:/Meus%20Sites/fake%20lactalis/lactalis.com.br/wp-includes/js/jquery/jquery-migrate330a.js	(from https://lactalis.com.br/pt/)
02:22:20	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2003%20Apr%202023%2005:22:20%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Meus%20Sites/fake%20lactalis/www.googletagmanager.com/gtm.b5445.delayed	(from https://lactalis.com.br/pt/)
02:22:20	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2003%20Apr%202023%2005:22:19%20GMT	https://lactalis.com.br/pt/quem-somos	C:/Meus%20Sites/fake%20lactalis/lactalis.com.br/pt/quem-somos.c.delayed	(from https://lactalis.com.br/pt/)
02:22:21	51294/51294	---M--	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2005:22:19%20GMT	https://lactalis.com.br/pt/quem-somos/	C:/Meus%20Sites/fake%20lactalis/lactalis.com.br/pt/quem-somos/index.html	(from https://lactalis.com.br/pt/)
02:22:21	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2003%20Apr%202023%2005:22:19%20GMT	https://lactalis.com.br/pt/nossa-historia	C:/Meus%20Sites/fake%20lactalis/lactalis.com.br/pt/nossa-historia.d.delayed	(from https://lactalis.com.br/pt/)
02:22:22	42394/42394	---M--	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2005:22:20%20GMT	https://lactalis.com.br/pt/nossa-historia/	C:/Meus%20Sites/fake%20lactalis/lactalis.com.br/pt/nossa-historia/index.html	(from https://lactalis.com.br/pt/)
02:22:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2003%20Apr%202023%2005:22:20%20GMT	https://lactalis.com.br/pt/dicas-do-tecnico	C:/Meus%20Sites/fake%20lactalis/lactalis.com.br/pt/dicas-do-tecnico.e.delayed	(from https://lactalis.com.br/pt/)
02:22:22	47547/47547	---M--	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2005:22:20%20GMT	https://lactalis.com.br/pt/dicas-do-tecnico/	C:/Meus%20Sites/fake%20lactalis/lactalis.com.br/pt/dicas-do-tecnico/index.html	(from https://lactalis.com.br/pt/)
02:22:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2003%20Apr%202023%2005:22:20%20GMT	https://lactalis.com.br/pt/institucional-trabalhe-conosco	C:/Meus%20Sites/fake%20lactalis/lactalis.com.br/pt/institucional-trabalhe-conosco.f.delayed	(from https://lactalis.com.br/pt/)
02:22:23	43479/43479	---M--	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2005:22:22%20GMT	https://lactalis.com.br/pt/institucional-trabalhe-conosco/	C:/Meus%20Sites/fake%20lactalis/lactalis.com.br/pt/institucional-trabalhe-conosco/index.html	(from https://lactalis.com.br/pt/)
02:22:23	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2003%20Apr%202023%2005:22:22%20GMT	https://lactalis.com.br/pt/noticias-lactalis?category=lactalis-na-midia	C:/Meus%20Sites/fake%20lactalis/lactalis.com.br/pt/noticias-lactalis.10e363.delayed	(from https://lactalis.com.br/pt/)
02:22:24	39441/39441	---M--	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2005:22:22%20GMT	https://lactalis.com.br/pt/noticias-lactalis/?category=lactalis-na-midia	C:/Meus%20Sites/fake%20lactalis/lactalis.com.br/pt/noticias-lactalis/indexe363.html	(from https://lactalis.com.br/pt/)
02:22:24	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2003%20Apr%202023%2005:22:22%20GMT	https://lactalis.com.br/pt/noticias-lactalis?category=releases	C:/Meus%20Sites/fake%20lactalis/lactalis.com.br/pt/noticias-lactalis.111cf7.delayed	(from https://lactalis.com.br/pt/)
02:22:24	127916/127916	---M--	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2005:22:23%20GMT	https://lactalis.com.br/pt/noticias-lactalis/?category=releases	C:/Meus%20Sites/fake%20lactalis/lactalis.com.br/pt/noticias-lactalis/index1cf7.html	(from https://lactalis.com.br/pt/)
02:22:24	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2003%20Apr%202023%2005:22:23%20GMT	https://lactalis.com.br/pt/publicacoes	C:/Meus%20Sites/fake%20lactalis/lactalis.com.br/pt/publicacoes.12.delayed	(from https://lactalis.com.br/pt/)
02:22:25	41171/41171	---M--	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2005:22:23%20GMT	https://lactalis.com.br/pt/publicacoes/	C:/Meus%20Sites/fake%20lactalis/lactalis.com.br/pt/publicacoes/index.html	(from https://lactalis.com.br/pt/)
02:22:25	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2003%20Apr%202023%2005:22:23%20GMT	https://lactalis.com.br/pt/forte-e-responsavel	C:/Meus%20Sites/fake%20lactalis/lactalis.com.br/pt/forte-e-responsavel.13.delayed	(from https://lactalis.com.br/pt/)
02:22:26	45247/45247	---M--	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2005:22:24%20GMT	https://lactalis.com.br/pt/forte-e-responsavel/	C:/Meus%20Sites/fake%20lactalis/lactalis.com.br/pt/forte-e-responsavel/index.html	(from https://lactalis.com.br/pt/)
02:22:26	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2003%20Apr%202023%2005:22:24%20GMT	https://lactalis.com.br/pt/contato	C:/Meus%20Sites/fake%20lactalis/lactalis.com.br/pt/contato.14.delayed	(from https://lactalis.com.br/pt/)
02:22:26	39887/39887	---M--	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2005:22:24%20GMT	https://lactalis.com.br/pt/contato/	C:/Meus%20Sites/fake%20lactalis/lactalis.com.br/pt/contato/index.html	(from https://lactalis.com.br/pt/)
02:22:26	126792/126792	---M--	200	added ('OK')	image/jpeg	etag:%220fe4a126fb9d41:0%22	https://lactalis.com.br/wp-content/uploads/2018/11/banner1.jpg	C:/Meus%20Sites/fake%20lactalis/lactalis.com.br/wp-content/uploads/2018/11/banner1.jpg	(from https://lactalis.com.br/pt/)
02:22:27	536784/536784	---M--	200	added ('OK')	image/jpeg	etag:%220ec9f9547ddd51:0%22	https://lactalis.com.br/wp-content/uploads/2018/11/banner_home_lactalis3-co%cc%81pia.jpg	C:/Meus%20Sites/fake%20lactalis/lactalis.com.br/wp-content/uploads/2018/11/banner_home_lactalis3-co%cc%81pia.jpg	(from https://lactalis.com.br/pt/)
02:22:27	4443732/4443732	---M--	200	added ('OK')	image/png	etag:%22bc2187519152d91:0%22	https://lactalis.com.br/wp-content/uploads/2023/03/KV-JUSTICEIRAS2-07.png	C:/Meus%20Sites/fake%20lactalis/lactalis.com.br/wp-content/uploads/2023/03/KV-JUSTICEIRAS2-07.png	(from https://lactalis.com.br/pt/)
02:22:27	1027468/1027468	---M--	200	added ('OK')	image/png	etag:%22f98ad5a68861d91:0%22	https://lactalis.com.br/wp-content/uploads/2023/03/O-PREFERIDO-DO-MERCADO.png	C:/Meus%20Sites/fake%20lactalis/lactalis.com.br/wp-content/uploads/2023/03/O-PREFERIDO-DO-MERCADO.png	(from https://lactalis.com.br/pt/)
02:22:28	1340158/1340158	---M--	200	added ('OK')	image/png	etag:%22674bd9663b57d91:0%22	https://lactalis.com.br/wp-content/uploads/2023/03/parceria-lactalis-site.png	C:/Meus%20Sites/fake%20lactalis/lactalis.com.br/wp-content/uploads/2023/03/parceria-lactalis-site.png	(from https://lactalis.com.br/pt/)
