date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:17:58	80387/80387	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:17:58%20GMT	https://sites.google.com/view/deusadoshi	C:/Meus%20Sites/teste%20001/sites.google.com/view/deusadoshi.html	(from )
03:17:58	77/77	---MCZ	200	added ('OK')	text/plain	date:Mon,%2003%20Apr%202023%2006:17:58%20GMT	https://sites.google.com/robots.txt		(from )
03:17:59	17591/17591	---M--	200	added ('OK')	text/javascript	etag:%22d661ae36c01ad72f%22	https://apis.google.com/js/client.js?onload=gapiLoaded	C:/Meus%20Sites/teste%20001/apis.google.com/js/clientc932.js	(from https://sites.google.com/view/deusadoshi)
03:17:59	80451/80451	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:17:59%20GMT	https://sites.google.com/view/deusadoshi/nicole-doshi	C:/Meus%20Sites/teste%20001/sites.google.com/view/deusadoshi/nicole-doshi.html	(from https://sites.google.com/view/deusadoshi)
03:18:00	95340/95340	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:18:00%20GMT	https://sites.google.com/view/deusadoshi/fotos	C:/Meus%20Sites/teste%20001/sites.google.com/view/deusadoshi/fotos.html	(from https://sites.google.com/view/deusadoshi)
03:18:00	81407/81407	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:18:00%20GMT	https://sites.google.com/view/deusadoshi/videos-leves	C:/Meus%20Sites/teste%20001/sites.google.com/view/deusadoshi/videos-leves.html	(from https://sites.google.com/view/deusadoshi)
03:18:01	79886/79886	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:18:01%20GMT	https://sites.google.com/view/deusadoshi/videos-pesados	C:/Meus%20Sites/teste%20001/sites.google.com/view/deusadoshi/videos-pesados.html	(from https://sites.google.com/view/deusadoshi)
03:18:02	80540/80540	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:18:02%20GMT	https://sites.google.com/view/deusadoshi/nicole-na-cama	C:/Meus%20Sites/teste%20001/sites.google.com/view/deusadoshi/nicole-na-cama.html	(from https://sites.google.com/view/deusadoshi/fotos)
03:18:02	80697/80697	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:18:02%20GMT	https://sites.google.com/view/deusadoshi/aeromo%c3%a7a	C:/Meus%20Sites/teste%20001/sites.google.com/view/deusadoshi/aeromo%c3%a7a.html	(from https://sites.google.com/view/deusadoshi/fotos)
03:18:03	85170/85170	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:18:03%20GMT	https://sites.google.com/view/deusadoshi/botas-pretas	C:/Meus%20Sites/teste%20001/sites.google.com/view/deusadoshi/botas-pretas.html	(from https://sites.google.com/view/deusadoshi/fotos)
